Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",-33.337500,-94.831896,90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-43.656250,-94.988146,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-103.981250,-97.631250,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-53.975000,-74.612500,180.000000,bottom
"C6","10uF","C_0805_2012Metric",-78.703249,-75.022397,45.000000,bottom
"D1","1N4148W","D_SOD-123",-42.862500,-119.856250,180.000000,bottom
"D2","1N4148W","D_SOD-123",-42.862500,-138.906250,180.000000,bottom
"D3","1N4148W","D_SOD-123",-42.862500,-157.956250,180.000000,bottom
"D4","1N4148W","D_SOD-123",-61.912500,-119.856250,180.000000,bottom
"D5","1N4148W","D_SOD-123",-61.912500,-138.906250,180.000000,bottom
"D6","1N4148W","D_SOD-123",-61.912500,-157.956250,180.000000,bottom
"D7","1N4148W","D_SOD-123",-80.962500,-119.856250,180.000000,bottom
"D8","1N4148W","D_SOD-123",-80.962500,-138.906250,180.000000,bottom
"D9","1N4148W","D_SOD-123",-80.962500,-157.956250,180.000000,bottom
"D10","1N4148W","D_SOD-123",-99.218750,-119.856250,180.000000,bottom
"D11","1N4148W","D_SOD-123",-100.012500,-138.906250,180.000000,bottom
"D12","1N4148W","D_SOD-123",-100.806250,-157.956250,180.000000,bottom
"F1","TLC-PSMD010/24","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-82.550000,-65.881250,0.000000,bottom
"R1","2k","R_0805_2012Metric",-71.586015,-94.839631,-135.000000,bottom
"R2","2k","R_0805_2012Metric",-73.173515,-96.427131,-135.000000,bottom
"R5","10k","R_0805_2012Metric",-33.337500,-87.963146,90.000000,bottom
"R6","10k","R_0805_2012Metric",-33.337500,-79.113146,90.000000,bottom
"R7","2k","R_0805_2012Metric",-74.761015,-98.014631,-135.000000,bottom
"R10","2k","R_0805_2012Metric",-76.348515,-99.602131,-135.000000,bottom
"R11","10k","R_0805_2012Metric",-53.975000,-79.113146,-90.000000,bottom
"R12","10k","R_0805_2012Metric",-53.975000,-87.050646,-90.000000,bottom
"R13","10k","R_0805_2012Metric",-89.693750,-81.756250,90.000000,bottom
"R14","10k","R_0805_2012Metric",-89.693750,-76.318750,90.000000,bottom
"R15","10k","R_0805_2012Metric",-108.743750,-77.644396,-90.000000,bottom
"R16","10k","R_0805_2012Metric",-108.743750,-87.050646,-90.000000,bottom
"SW1","MX_SW_HS","SW_MX_HS_1u",-42.862500,-111.918750,180.000000,bottom
"SW2","MX_SW_HS","SW_MX_HS_1u",-42.862500,-130.968750,180.000000,bottom
"SW3","MX_SW_HS","SW_MX_HS_1u",-42.862500,-150.018750,180.000000,bottom
"SW4","MX_SW_HS","SW_MX_HS_1u",-61.912500,-111.918750,180.000000,bottom
"SW5","MX_SW_HS","SW_MX_HS_1u",-61.912500,-130.968750,180.000000,bottom
"SW6","MX_SW_HS","SW_MX_HS_1u",-61.912500,-150.018750,180.000000,bottom
"SW7","MX_SW_HS","SW_MX_HS_1u",-80.962500,-111.918750,180.000000,bottom
"SW8","MX_SW_HS","SW_MX_HS_1u",-80.962500,-130.968750,180.000000,bottom
"SW9","MX_SW_HS","SW_MX_HS_1u",-80.962500,-150.018750,180.000000,bottom
"SW10","MX_SW_HS","SW_MX_HS_1u",-100.012500,-111.918750,180.000000,bottom
"SW11","MX_SW_HS","SW_MX_HS_1u",-100.012500,-130.968750,180.000000,bottom
"SW12","MX_SW_HS","SW_MX_HS_1u",-100.012500,-150.018750,180.000000,bottom
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-71.437500,-83.875646,-135.000000,bottom
"Y1","16MHZ","Resonator_SMD-3Pin_7.2x3.0mm_CSTNE16M0VH3C000R0",-88.900000,-96.837500,45.000000,bottom
"C3","0.1uF","C_0805_2012Metric",94.456250,-99.218750,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",73.025000,-54.506896,180.000000,top
"R3","22","R_0805_2012Metric",71.437500,-62.444396,-90.000000,top
"R4","22","R_0805_2012Metric",73.818750,-65.881250,0.000000,top
"R8","5.1k","R_0805_2012Metric",76.200000,-63.500000,0.000000,top
"R9","5.1k","R_0805_2012Metric",57.150000,-61.650646,180.000000,top
"S1","PEC11R-4215F-S0024","Rotary_Encoder_Switched_PEC11R",37.956250,-83.887500,0.000000,top
"S2","PEC11R-4215F-S0024","Rotary_Encoder_Switched_PEC11R",93.518750,-83.887500,0.000000,top
"SW13","RESET_BTN","SW_Push_1P1T_NO_6x6mm_H9.5mm",96.043750,-64.031896,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",65.087500,-66.413146,0.000000,top
"U3","SSD1306","SSD1306_0.96_Oled",58.532500,-95.986896,0.000000,top
